Country Code,Country,Date,Food_Price_Index
MEX,Mexico,1973-07-01,0.0
NLD,Netherlands,1973-07-01,42.6
NZL,New Zealand,1973-07-01,9.3
PRT,Portugal,1973-07-01,2.7
SGP,Singapore,1973-07-01,36.193
SWE,Sweden,1973-07-01,17.2
TUR,Turkey,1973-07-01,0.0
TWN,"Taiwan, China",1973-07-01,15.89
USA,United States,1973-07-01,21.3
ZAF,South Africa,1973-07-01,1.3
AUS,Australia,1973-10-01,12.7
AUT,Austria,1973-10-01,34.4
CAN,Canada,1973-10-01,18.1
CHE,Switzerland,1973-10-01,46.9
DEU,Germany,1973-10-01,43.6
DNK,Denmark,1973-10-01,20.0
ESP,Spain,1973-10-01,7.7
FIN,Finland,1973-10-01,18.1
FRA,France,1973-10-01,18.3
GBR,United Kingdom,1973-10-01,12.1
GRC,Greece,1973-10-01,1.9
ISR,Israel,1973-10-01,0.0
ITA,Italy,1973-10-01,8.2
JPN,Japan,1973-10-01,42.4
LUX,Luxembourg,1973-10-01,25.0
MEX,Mexico,1973-10-01,0.0
NLD,Netherlands,1973-10-01,43.5
NZL,New Zealand,1973-10-01,9.7
PRT,Portugal,1973-10-01,2.8
SGP,Singapore,1973-10-01,39.871
SWE,Sweden,1973-10-01,17.5
TUR,Turkey,1973-10-01,0.0
TWN,"Taiwan, China",1973-10-01,18.51
USA,United States,1973-10-01,21.7
ZAF,South Africa,1973-10-01,1.3
AUS,Australia,1974-01-01,13.1
AUT,Austria,1974-01-01,35.4
CAN,Canada,1974-01-01,18.8
CHE,Switzerland,1974-01-01,48.8
DEU,Germany,1974-01-01,44.6
DNK,Denmark,1974-01-01,20.3
ESP,Spain,1974-01-01,7.8
FIN,Finland,1974-01-01,18.1
FRA,France,1974-01-01,18.8
GBR,United Kingdom,1974-01-01,12.8
GRC,Greece,1974-01-01,2.2
ISR,Israel,1974-01-01,0.0
ITA,Italy,1974-01-01,8.7
JPN,Japan,1974-01-01,49.2
LUX,Luxembourg,1974-01-01,26.1
MEX,Mexico,1974-01-01,0.0
NLD,Netherlands,1974-01-01,44.3
NZL,New Zealand,1974-01-01,9.9
PRT,Portugal,1974-01-01,3.1
SGP,Singapore,1974-01-01,42.292
SWE,Sweden,1974-01-01,18.0
TUR,Turkey,1974-01-01,0.0
TWN,"Taiwan, China",1974-01-01,23.3
USA,United States,1974-01-01,22.9
ZAF,South Africa,1974-01-01,1.4
AUS,Australia,1974-04-01,13.6
AUT,Austria,1974-04-01,36.0
CAN,Canada,1974-04-01,19.6
CHE,Switzerland,1974-04-01,49.5
DEU,Germany,1974-04-01,45.5
DNK,Denmark,1974-04-01,20.8
ESP,Spain,1974-04-01,8.1
FIN,Finland,1974-04-01,19.8
FRA,France,1974-04-01,19.5
GBR,United Kingdom,1974-04-01,13.2
GRC,Greece,1974-04-01,2.3
ISR,Israel,1974-04-01,0.0
ITA,Italy,1974-04-01,9.1
JPN,Japan,1974-04-01,50.7
LUX,Luxembourg,1974-04-01,26.6
MEX,Mexico,1974-04-01,0.0
NLD,Netherlands,1974-04-01,44.6
NZL,New Zealand,1974-04-01,10.1
PRT,Portugal,1974-04-01,3.4
SGP,Singapore,1974-04-01,41.402
SWE,Sweden,1974-04-01,17.8
TUR,Turkey,1974-04-01,0.0
TWN,"Taiwan, China",1974-04-01,23.87
USA,United States,1974-04-01,23.2
ZAF,South Africa,1974-04-01,1.4
AUS,Australia,1974-07-01,13.9
AUT,Austria,1974-07-01,36.7
CAN,Canada,1974-07-01,20.3
CHE,Switzerland,1974-07-01,51.6
DEU,Germany,1974-07-01,45.3
DNK,Denmark,1974-07-01,21.5
ESP,Spain,1974-07-01,8.4
FIN,Finland,1974-07-01,21.2
FRA,France,1974-07-01,20.0
GBR,United Kingdom,1974-07-01,13.5
GRC,Greece,1974-07-01,2.3
ISR,Israel,1974-07-01,0.0
ITA,Italy,1974-07-01,9.7
JPN,Japan,1974-07-01,52.9
LUX,Luxembourg,1974-07-01,27.0
MEX,Mexico,1974-07-01,0.0
NLD,Netherlands,1974-07-01,45.5
NZL,New Zealand,1974-07-01,10.4
PRT,Portugal,1974-07-01,3.7
SGP,Singapore,1974-07-01,42.309
SWE,Sweden,1974-07-01,18.2
TUR,Turkey,1974-07-01,0.0
TWN,"Taiwan, China",1974-07-01,25.56
USA,United States,1974-07-01,23.6
ZAF,South Africa,1974-07-01,1.5
AUS,Australia,1974-10-01,13.9
AUT,Austria,1974-10-01,36.9
CAN,Canada,1974-10-01,20.9
CHE,Switzerland,1974-10-01,53.6
DEU,Germany,1974-10-01,45.7
DNK,Denmark,1974-10-01,22.4
ESP,Spain,1974-10-01,8.9
FIN,Finland,1974-10-01,21.6
FRA,France,1974-10-01,20.6
