Country Code,Country,Date,Core_CPI
PAN,Panama,1983-01-01,3.9
PRT,Portugal,1983-01-01,21.0
SGP,Singapore,1983-01-01,-2.6
SWE,Sweden,1983-01-01,8.6
TUN,Tunisia,1983-01-01,4.3
TWN,"Taiwan, China",1983-01-01,1.9
USA,United States,1983-01-01,3.9
AUS,Australia,1984-01-01,3.6
AUT,Austria,1984-01-01,5.5
BEL,Belgium,1984-01-01,6.1
CAN,Canada,1984-01-01,3.9
CHE,Switzerland,1984-01-01,2.8
DEU,Germany,1984-01-01,2.5
DNK,Denmark,1984-01-01,6.5
ESP,Spain,1984-01-01,10.7
FIN,Finland,1984-01-01,7.7
FRA,France,1984-01-01,23.6
GBR,United Kingdom,1984-01-01,5.2
GRC,Greece,1984-01-01,18.5
GTM,Guatemala,1984-01-01,4.7
IRL,Ireland,1984-01-01,-23.8
ISR,Israel,1984-01-01,368.6
ITA,Italy,1984-01-01,11.3
JPN,Japan,1984-01-01,2.8
KOR,"Korea, Rep.",1984-01-01,2.1
LUX,Luxembourg,1984-01-01,6.3
MEX,Mexico,1984-01-01,66.0
NLD,Netherlands,1984-01-01,3.2
NOR,Norway,1984-01-01,6.0
NZL,New Zealand,1984-01-01,6.2
PAN,Panama,1984-01-01,2.2
PRT,Portugal,1984-01-01,25.5
SGP,Singapore,1984-01-01,-0.7
SWE,Sweden,1984-01-01,7.7
TUN,Tunisia,1984-01-01,7.0
TWN,"Taiwan, China",1984-01-01,1.7
USA,United States,1984-01-01,4.9
AUS,Australia,1985-01-01,6.8
AUT,Austria,1985-01-01,3.7
BEL,Belgium,1985-01-01,11.8
CAN,Canada,1985-01-01,4.0
CHE,Switzerland,1985-01-01,3.5
DEU,Germany,1985-01-01,2.1
DNK,Denmark,1985-01-01,-2.0
ESP,Spain,1985-01-01,9.2
FIN,Finland,1985-01-01,4.9
FRA,France,1985-01-01,5.7
GBR,United Kingdom,1985-01-01,6.9
GRC,Greece,1985-01-01,19.3
GTM,Guatemala,1985-01-01,20.5
IRL,Ireland,1985-01-01,5.8
ISL,Iceland,1985-01-01,-1.2
ISR,Israel,1985-01-01,299.8
ITA,Italy,1985-01-01,9.6
JPN,Japan,1985-01-01,2.6
KOR,"Korea, Rep.",1985-01-01,2.2
LUX,Luxembourg,1985-01-01,4.2
MEX,Mexico,1985-01-01,58.0
NLD,Netherlands,1985-01-01,2.6
NOR,Norway,1985-01-01,5.8
NZL,New Zealand,1985-01-01,15.4
PRT,Portugal,1985-01-01,20.9
SGP,Singapore,1985-01-01,-2.7
SWE,Sweden,1985-01-01,6.8
TUN,Tunisia,1985-01-01,7.2
TWN,"Taiwan, China",1985-01-01,1.4
USA,United States,1985-01-01,4.4
AUS,Australia,1986-01-01,9.7
AUT,Austria,1986-01-01,3.7
BEL,Belgium,1986-01-01,5.7
CAN,Canada,1986-01-01,5.3
CHE,Switzerland,1986-01-01,2.7
DEU,Germany,1986-01-01,0.8
DNK,Denmark,1986-01-01,-1.6
ESP,Spain,1986-01-01,10.3
FIN,Finland,1986-01-01,3.5
FRA,France,1986-01-01,4.2
GBR,United Kingdom,1986-01-01,4.5
GRC,Greece,1986-01-01,1.6
GTM,Guatemala,1986-01-01,11.8
IRL,Ireland,1986-01-01,4.6
ISR,Israel,1986-01-01,51.6
ITA,Italy,1986-01-01,7.0
JPN,Japan,1986-01-01,1.7
KOR,"Korea, Rep.",1986-01-01,3.7
LUX,Luxembourg,1986-01-01,2.5
MEX,Mexico,1986-01-01,86.5
NLD,Netherlands,1986-01-01,1.2
NOR,Norway,1986-01-01,7.7
NZL,New Zealand,1986-01-01,15.0
POL,Poland,1986-01-01,20.0
PRT,Portugal,1986-01-01,2.6
SGP,Singapore,1986-01-01,-11.7
SWE,Sweden,1986-01-01,4.8
THA,Thailand,1986-01-01,3.7
TUN,Tunisia,1986-01-01,4.0
TWN,"Taiwan, China",1986-01-01,0.6
USA,United States,1986-01-01,4.0
AUS,Australia,1987-01-01,9.4
AUT,Austria,1987-01-01,2.1
BEL,Belgium,1987-01-01,3.7
CAN,Canada,1987-01-01,4.5
CHE,Switzerland,1987-01-01,2.1
DEU,Germany,1987-01-01,1.2
DJI,Djibouti,1987-01-01,-5.9
DNK,Denmark,1987-01-01,-14.0
ESP,Spain,1987-01-01,6.6
FIN,Finland,1987-01-01,4.6
FRA,France,1987-01-01,4.0
GBR,United Kingdom,1987-01-01,4.8
GRC,Greece,1987-01-01,17.6
IRL,Ireland,1987-01-01,3.6
ISR,Israel,1987-01-01,22.6
ITA,Italy,1987-01-01,5.4
JPN,Japan,1987-01-01,1.3
KOR,"Korea, Rep.",1987-01-01,3.0
LUX,Luxembourg,1987-01-01,1.0
MEX,Mexico,1987-01-01,131.8
NLD,Netherlands,1987-01-01,0.7
NOR,Norway,1987-01-01,9.3
NZL,New Zealand,1987-01-01,16.7
POL,Poland,1987-01-01,33.3
PRT,Portugal,1987-01-01,-3.5
SGP,Singapore,1987-01-01,8.3
SWE,Sweden,1987-01-01,4.7
TCD,Chad,1987-01-01,18.7
THA,Thailand,1987-01-01,3.2
TWN,"Taiwan, China",1987-01-01,0.6
USA,United States,1987-01-01,4.1
AUS,Australia,1988-01-01,7.5
AUT,Austria,1988-01-01,2.7
BEL,Belgium,1988-01-01,2.3
CAN,Canada,1988-01-01,4.7
CHE,Switzerland,1988-01-01,2.2
DEU,Germany,1988-01-01,1.8
DJI,Djibouti,1988-01-01,4.5
DNK,Denmark,1988-01-01,5.2
ESP,Spain,1988-01-01,6.1
FIN,Finland,1988-01-01,6.5
FRA,France,1988-01-01,3.1
GBR,United Kingdom,1988-01-01,5.6
GRC,Greece,1988-01-01,14.3
IRL,Ireland,1988-01-01,2.2
ISR,Israel,1988-01-01,16.2
ITA,Italy,1988-01-01,5.5
JPN,Japan,1988-01-01,1.0
KOR,"Korea, Rep.",1988-01-01,6.1
LUX,Luxembourg,1988-01-01,1.8
MEX,Mexico,1988-01-01,111.7
MLT,Malta,1988-01-01,2.1
NLD,Netherlands,1988-01-01,1.0
