Country Code,Country,Date,Core_CPI
ESP,Spain,1978-01-01,13.7
FIN,Finland,1978-01-01,27.3
FRA,France,1978-01-01,28.6
GBR,United Kingdom,1978-01-01,23.0
GRC,Greece,1978-01-01,3.4
IRL,Ireland,1978-01-01,18.6
ISR,Israel,1978-01-01,0.0
ITA,Italy,1978-01-01,13.6
JPN,Japan,1978-01-01,65.4
LUX,Luxembourg,1978-01-01,34.1
NLD,Netherlands,1978-01-01,39.5
NZL,New Zealand,1978-01-01,15.7
PRT,Portugal,1978-01-01,5.4
SWE,Sweden,1978-01-01,27.6
USA,United States,1978-01-01,26.1
AUS,Australia,1978-04-01,21.1
AUT,Austria,1978-04-01,37.6
BEL,Belgium,1978-04-01,34.6
CAN,Canada,1978-04-01,29.7
CHE,Switzerland,1978-04-01,50.6
DEU,Germany,1978-04-01,45.3
DNK,Denmark,1978-04-01,28.6
ESP,Spain,1978-04-01,14.5
FIN,Finland,1978-04-01,28.1
FRA,France,1978-04-01,29.4
GBR,United Kingdom,1978-04-01,23.6
GRC,Greece,1978-04-01,3.6
IRL,Ireland,1978-04-01,18.9
ISR,Israel,1978-04-01,0.0
ITA,Italy,1978-04-01,14.1
JPN,Japan,1978-04-01,67.0
LUX,Luxembourg,1978-04-01,34.5
NLD,Netherlands,1978-04-01,40.1
NZL,New Zealand,1978-04-01,16.2
PRT,Portugal,1978-04-01,5.7
SWE,Sweden,1978-04-01,27.9
USA,United States,1978-04-01,26.7
AUS,Australia,1978-07-01,21.5
AUT,Austria,1978-07-01,37.9
BEL,Belgium,1978-07-01,35.0
CAN,Canada,1978-07-01,30.3
CHE,Switzerland,1978-07-01,50.6
DEU,Germany,1978-07-01,45.3
DNK,Denmark,1978-07-01,28.9
ESP,Spain,1978-07-01,15.0
FIN,Finland,1978-07-01,28.5
FRA,France,1978-07-01,30.1
GBR,United Kingdom,1978-07-01,24.1
GRC,Greece,1978-07-01,3.6
IRL,Ireland,1978-07-01,19.3
ISR,Israel,1978-07-01,0.0
ITA,Italy,1978-07-01,14.4
JPN,Japan,1978-07-01,67.5
LUX,Luxembourg,1978-07-01,34.6
NLD,Netherlands,1978-07-01,40.7
NZL,New Zealand,1978-07-01,16.5
PRT,Portugal,1978-07-01,6.0
SWE,Sweden,1978-07-01,28.1
USA,United States,1978-07-01,27.3
AUS,Australia,1978-10-01,21.8
AUT,Austria,1978-10-01,38.2
