Country Code,Country,Date,Producer_Price_Inflation
AUS,Australia,1984-01-01,5.4
BEL,Belgium,1984-01-01,7.6
CAF,Central African Republic,1984-01-01,5.9
CAN,Canada,1984-01-01,4.5
CHE,Switzerland,1984-01-01,2.9
COG,"Congo, Rep.",1984-01-01,14.5
COL,Colombia,1984-01-01,18.3
DEU,Germany,1984-01-01,2.9
DNK,Denmark,1984-01-01,7.5
ESP,Spain,1984-01-01,12.2
FIN,Finland,1984-01-01,5.4
FRA,France,1984-01-01,26.8
GAB,Gabon,1984-01-01,7.3
GBR,United Kingdom,1984-01-01,5.9
GTM,Guatemala,1984-01-01,5.6
HUN,Hungary,1984-01-01,5.3
IND,India,1984-01-01,8.5
IRL,Ireland,1984-01-01,7.4
ISR,Israel,1984-01-01,396.5
ITA,Italy,1984-01-01,10.3
JPN,Japan,1984-01-01,0.1
KOR,"Korea, Rep.",1984-01-01,0.7
LUX,Luxembourg,1984-01-01,6.2
MEX,Mexico,1984-01-01,66.4
NLD,Netherlands,1984-01-01,4.0
NOR,Norway,1984-01-01,6.9
NZL,New Zealand,1984-01-01,7.0
SGP,Singapore,1984-01-01,-2.1
SWE,Sweden,1984-01-01,7.7
THA,Thailand,1984-01-01,-3.1
TTO,Trinidad and Tobago,1984-01-01,5.2
TWN,"Taiwan, China",1984-01-01,0.5
URY,Uruguay,1984-01-01,77.4
USA,United States,1984-01-01,2.4
ZAF,South Africa,1984-01-01,8.6
ZMB,Zambia,1984-01-01,24.2
AUS,Australia,1985-01-01,6.6
BEL,Belgium,1985-01-01,2.6
CAF,Central African Republic,1985-01-01,6.7
CAN,Canada,1985-01-01,2.7
CHE,Switzerland,1985-01-01,2.0
COG,"Congo, Rep.",1985-01-01,6.6
COL,Colombia,1985-01-01,24.9
DEU,Germany,1985-01-01,2.4
DNK,Denmark,1985-01-01,2.7
ESP,Spain,1985-01-01,8.0
FIN,Finland,1985-01-01,4.5
GAB,Gabon,1985-01-01,11.8
GBR,United Kingdom,1985-01-01,6.2
GTM,Guatemala,1985-01-01,23.3
HUN,Hungary,1985-01-01,4.9
IND,India,1985-01-01,6.0
IRL,Ireland,1985-01-01,4.0
ISL,Iceland,1985-01-01,9.2
ISR,Israel,1985-01-01,266.1
ITA,Italy,1985-01-01,7.7
JPN,Japan,1985-01-01,-0.8
KOR,"Korea, Rep.",1985-01-01,0.9
LUX,Luxembourg,1985-01-01,3.0
MEX,Mexico,1985-01-01,56.6
NLD,Netherlands,1985-01-01,3.2
NOR,Norway,1985-01-01,4.8
NZL,New Zealand,1985-01-01,15.4
SGP,Singapore,1985-01-01,-3.7
SWE,Sweden,1985-01-01,5.2
THA,Thailand,1985-01-01,0.0
TTO,Trinidad and Tobago,1985-01-01,4.7
TWN,"Taiwan, China",1985-01-01,-2.6
URY,Uruguay,1985-01-01,76.6
USA,United States,1985-01-01,-0.4
ZAF,South Africa,1985-01-01,15.5
ZMB,Zambia,1985-01-01,38.4
AUS,Australia,1986-01-01,5.6
BEL,Belgium,1986-01-01,-11.5
BGR,Bulgaria,1986-01-01,0.9
CAF,Central African Republic,1986-01-01,3.9
CAN,Canada,1986-01-01,0.9
CHE,Switzerland,1986-01-01,-1.3
COG,"Congo, Rep.",1986-01-01,3.7
COL,Colombia,1986-01-01,22.0
DEU,Germany,1986-01-01,-2.5
DNK,Denmark,1986-01-01,-6.8
ESP,Spain,1986-01-01,0.9
FIN,Finland,1986-01-01,-5.2
GAB,Gabon,1986-01-01,-1.8
GBR,United Kingdom,1986-01-01,1.3
GRC,Greece,1986-01-01,3.5
GTM,Guatemala,1986-01-01,42.9
